danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName,popularity
0.648,0.559,11,-8.424,0,0.128,0.285,0.103,0.116,0.159,113.054,audio_features,577anBvdqX2NHWVLERO6wb,spotify:track:577anBvdqX2NHWVLERO6wb,https://api.spotify.com/v1/tracks/577anBvdqX2NHWVLERO6wb,https://api.spotify.com/v1/audio-analysis/577anBvdqX2NHWVLERO6wb,234240,4,2018-10-13T06:17:24Z,5tGe885HY5lFpVqGZTb8yP,Shallou,electropop,https://i.scdn.co/image/ab67616d0000b273d5d2ba6e7af98b5fa5427275,You and Me,41
0.452,0.574,6,-8.336,1,0.31,0.246,0,0.189,0.58,92.791,audio_features,6brl7bwOHmGFkNw3MBqssT,spotify:track:6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/tracks/6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/audio-analysis/6brl7bwOHmGFkNw3MBqssT,207187,4,2018-10-10T04:32:02Z,6gkwOLmk0ALMOjWs5WhAEr,Ne-Yo,dance pop,https://i.scdn.co/image/97deea63e370878f62f24f0165bafcb0c648efd1,So Sick,78
0.604,0.277,2,-8.249,1,0.0286,0.915,0.0000182,0.113,0.22,82.922,audio_features,71HEg3bYLyMAxHuJ3a6KIM,spotify:track:71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/tracks/71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/audio-analysis/71HEg3bYLyMAxHuJ3a6KIM,219268,4,2018-10-10T02:50:08Z,0bO19AlrcNsk8t5gOqKDgX,Cyn,electropop,https://i.scdn.co/image/ab67616d0000b2731af811a83bdbb87bc4286ed2,I’ll Still Have Me,59
0.388,0.5,4,-6.25,1,0.0312,0.673,0,0.0974,0.19,165.988,audio_features,6Sp4iQpdTX7awBp2M19wE6,spotify:track:6Sp4iQpdTX7awBp2M19wE6,https://api.spotify.com/v1/tracks/6Sp4iQpdTX7awBp2M19wE6,https://api.spotify.com/v1/audio-analysis/6Sp4iQpdTX7awBp2M19wE6,305721,3,2018-10-10T02:26:45Z,6lsbUt26QfQ6d3xADj1moc,張粹方,undefined,https://i.scdn.co/image/ab67616d0000b273edbedf2ada7b6562434fc7e4,你愛她,18
0.527,0.276,0,-7.856,1,0.0293,0.755,0,0.123,0.304,140.051,audio_features,5rmEOJzLZh5zyKYUVDz36I,spotify:track:5rmEOJzLZh5zyKYUVDz36I,https://api.spotify.com/v1/tracks/5rmEOJzLZh5zyKYUVDz36I,https://api.spotify.com/v1/audio-analysis/5rmEOJzLZh5zyKYUVDz36I,247714,4,2018-10-10T02:23:14Z,2e0nlQQuViBiJzFlXrajEu,陳忻玥,taiwan singer-songwriter,https://i.scdn.co/image/ab67616d0000b273063e83f3c773a9a98bb743e5,煙幕,57
0.852,0.424,6,-9.308,1,0.0463,0.383,0,0.0843,0.591,94.934,audio_features,5lH3H5LMsBnWfec33fui3w,spotify:track:5lH3H5LMsBnWfec33fui3w,https://api.spotify.com/v1/tracks/5lH3H5LMsBnWfec33fui3w,https://api.spotify.com/v1/audio-analysis/5lH3H5LMsBnWfec33fui3w,113684,4,2018-10-06T22:33:55Z,6WMzCKIrIbp4mQ8iXNfhpg,khai dreams,indie pop,https://i.scdn.co/image/ab67616d0000b273928666e74d23cd10bfe976de,Through and Through,71
0.35,0.43,7,-13.14,1,0.131,0.715,0,0.299,0.203,169.908,audio_features,53usuYfeK66GLBhm6k7x5e,spotify:track:53usuYfeK66GLBhm6k7x5e,https://api.spotify.com/v1/tracks/53usuYfeK66GLBhm6k7x5e,https://api.spotify.com/v1/audio-analysis/53usuYfeK66GLBhm6k7x5e,170667,4,2018-10-06T22:32:36Z,295w7Tzs0uEcscqDs38Xub,khai dreams,indie pop,https://i.scdn.co/image/ab67616d0000b2736b403583fba0d408bf9997c2,Fantasy,64
0.422,0.0163,3,-26.561,1,0.0399,0.989,0.918,0.177,0.108,64.079,audio_features,7yMSBYlmVEZYZS6V1SLrth,spotify:track:7yMSBYlmVEZYZS6V1SLrth,https://api.spotify.com/v1/tracks/7yMSBYlmVEZYZS6V1SLrth,https://api.spotify.com/v1/audio-analysis/7yMSBYlmVEZYZS6V1SLrth,274040,4,2018-10-06T19:37:14Z,3ZVgGeWcLreMEB9DklF1As,Frédéric Chopin,classical,https://i.scdn.co/image/ab67616d0000b27331dd094cae5a197c21f88021,Nocturnes  Op. 9: No. 2 in E-Flat Major. Andante,50
0.533,0.32,8,-8.819,1,0.0316,0.731,0.0000165,0.154,0.291,98.036,audio_features,5mdooqkfMvf7LtIFKReUYg,spotify:track:5mdooqkfMvf7LtIFKReUYg,https://api.spotify.com/v1/tracks/5mdooqkfMvf7LtIFKReUYg,https://api.spotify.com/v1/audio-analysis/5mdooqkfMvf7LtIFKReUYg,226160,4,2018-10-06T05:00:48Z,0rI4Lse9Ffh0HoXVYmdiHa,Florence + The Machine,art pop,https://i.scdn.co/image/ab67616d0000b2734b15e45e9976d0cfd617b57e,Sky Full Of Song,56
0.516,0.358,8,-12.018,0,0.424,0.741,0.00000134,0.0813,0.397,79.509,audio_features,0sHFw13WH3LtSB3yP8UMYJ,spotify:track:0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/tracks/0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/audio-analysis/0sHFw13WH3LtSB3yP8UMYJ,124000,4,2018-10-03T04:40:50Z,1XcWosLrZX4QBLJCkVR3dm,Peachy!,indie pop,https://i.scdn.co/image/ab67616d0000b2732ff45f1d7ab9b8e76c417fe6,Falling for U,79
0.756,0.469,6,-8.491,0,0.469,0.625,0,0.129,0.623,139.85,audio_features,3p7byaSR5J1he8vvDkxirp,spotify:track:3p7byaSR5J1he8vvDkxirp,https://api.spotify.com/v1/tracks/3p7byaSR5J1he8vvDkxirp,https://api.spotify.com/v1/audio-analysis/3p7byaSR5J1he8vvDkxirp,236491,4,2018-10-03T04:37:24Z,7LUxpsiuHWzgNN2fIIs1XL,Johnny Balik,undefined,https://i.scdn.co/image/ab67616d0000b2739b4f3635a63d977996d54d04,Honey,57
